customer_name,customer_key,custome_number,Age,Age_group,cx_segment,last_order_date,recency,total_orders,total_sales,total_quantity,total_products,lifespan,AOV,AMS
Aaron Adams,17867,AW00028866,46,40 - 49,Regular,2013-04-28,148,1,118,4,4,148,118,0.797297297297297
Aaron Alexander,9286,AW00020285,43,40 - 49,Regular,2013-12-13,140,1,70,1,1,140,70,0.5
Aaron Allen,9076,AW00020075,67,50 and Above,Regular,2011-12-02,164,1,3400,1,1,164,3400,20.7317073170732
Aaron Baker,6863,AW00017862,49,40 - 49,Regular,2013-09-09,143,1,1751,2,2,143,1751,12.2447552447552
Aaron Bryant,1068,AW00012067,75,50 and Above,Regular,2013-07-26,145,2,134,5,5,148,67,0.905405405405405
Aaron Butler,10415,AW00021414,46,40 - 49,Regular,2013-12-26,140,1,15,2,2,140,15,0.107142857142857
Aaron Campbell,10152,AW00021151,52,50 and Above,Regular,2013-09-10,143,1,1155,2,2,143,1155,8.07692307692308
Aaron Carter,16917,AW00027916,46,40 - 49,Regular,2013-12-22,140,1,40,2,2,140,40,0.285714285714286
Aaron Chen,17188,AW00028187,55,50 and Above,Regular,2013-07-13,145,1,40,2,2,145,40,0.275862068965517
Aaron Coleman,5750,AW00016749,46,40 - 49,Regular,2013-12-05,140,1,62,3,3,140,62,0.442857142857143
Aaron Collins,16664,AW00027663,54,50 and Above,VIP,2013-11-16,141,2,6047,4,4,175,3023,34.5542857142857
Aaron Diaz,7696,AW00018695,50,50 and Above,VIP,2013-03-25,149,2,6029,3,3,170,3014,35.4647058823529
Aaron Edwards,8693,AW00019692,56,50 and Above,Regular,2013-06-02,146,1,94,2,2,146,94,0.643835616438356
Aaron Evans,14416,AW00025415,50,50 and Above,Regular,2013-06-11,146,1,2433,4,4,146,2433,16.6643835616438
Aaron Flores,3618,AW00014617,57,50 and Above,Regular,2013-07-13,145,2,1538,5,5,171,769,8.99415204678363
Aaron Foster,4567,AW00015566,55,50 and Above,Regular,2013-12-07,140,2,4912,10,10,145,2456,33.8758620689655
Aaron Gonzales,7805,AW00018804,43,40 - 49,Regular,2013-12-16,140,1,1810,4,4,140,1810,12.9285714285714
Aaron Gonzalez,9124,AW00020123,47,40 - 49,Regular,2013-10-10,142,1,133,3,3,142,133,0.936619718309859
Aaron Green,13954,AW00024953,75,50 and Above,Regular,2013-06-13,146,1,27,2,2,146,27,0.184931506849315
Aaron Griffin,12792,AW00023791,64,50 and Above,Regular,2013-06-30,146,1,72,3,3,146,72,0.493150684931507
Aaron Hall,16247,AW00027246,46,40 - 49,Regular,2013-05-14,147,1,29,1,1,147,29,0.197278911564626
Aaron Hayes,4569,AW00015568,62,50 and Above,Regular,2013-09-28,143,2,3113,3,3,155,1556,20.0838709677419
Aaron Henderson,17763,AW00028762,45,40 - 49,Regular,2014-01-02,139,1,27,2,2,139,27,0.194244604316547
Aaron Hernandez,7771,AW00018770,44,40 - 49,Regular,2013-08-22,144,1,94,2,2,144,94,0.652777777777778
Aaron Hill,14819,AW00025818,45,40 - 49,Regular,2013-04-23,148,1,36,3,3,148,36,0.243243243243243
Aaron Hughes,15695,AW00026694,64,50 and Above,Regular,2013-09-01,143,2,4456,5,5,157,2228,28.3821656050955
Aaron Jai,12171,AW00023170,51,50 and Above,Regular,2013-09-03,143,1,575,2,2,143,575,4.02097902097902
Aaron Jenkins,10241,AW00021240,40,40 - 49,Regular,2013-03-20,149,1,120,2,2,149,120,0.805369127516778
Aaron King,740,AW00011739,61,50 and Above,Regular,2013-04-16,148,2,4758,6,6,151,2379,31.5099337748344
Aaron Kumar,16264,AW00027263,49,40 - 49,Regular,2012-10-31,154,1,2049,1,1,154,2049,13.3051948051948
Aaron Lal,2155,AW00013154,40,40 - 49,Regular,2013-11-05,141,1,2310,3,3,141,2310,16.3829787234043
Aaron Li,4430,AW00015429,41,40 - 49,Regular,2013-08-01,144,2,3170,6,6,158,1585,20.0632911392405
Aaron McDonald,16735,AW00027734,43,40 - 49,Regular,2013-06-05,146,1,120,2,2,146,120,0.821917808219178
Aaron Mitchell,15333,AW00026332,48,40 - 49,Regular,2013-08-16,144,1,49,2,2,144,49,0.340277777777778
Aaron Nelson,15609,AW00026608,45,40 - 49,Regular,2013-06-23,146,2,2881,5,5,158,1440,18.2341772151899
Aaron Patterson,8114,AW00019113,49,40 - 49,Regular,2013-06-22,146,1,1184,4,4,146,1184,8.10958904109589
Aaron Perez,11166,AW00022165,43,40 - 49,Regular,2013-05-18,147,1,191,3,3,147,191,1.29931972789116
Aaron Perry,2196,AW00013195,65,50 and Above,Regular,2013-04-09,148,1,72,2,2,148,72,0.486486486486487
Aaron Phillips,13948,AW00024947,79,50 and Above,Regular,2013-06-02,146,1,40,2,2,146,40,0.273972602739726
Aaron Powell,14242,AW00025241,61,50 and Above,Regular,2013-06-19,146,1,5,1,1,146,5,0.0342465753424658
Aaron Roberts,8026,AW00019025,67,50 and Above,Regular,2013-03-14,149,1,120,2,2,149,120,0.805369127516778
Aaron Ross,889,AW00011888,56,50 and Above,Regular,2013-03-18,149,1,2377,3,3,149,2377,15.9530201342282
Aaron Russell,14600,AW00025599,45,40 - 49,Regular,2013-12-11,140,1,1174,2,2,140,1174,8.38571428571429
Aaron Scott,5752,AW00016751,41,40 - 49,Regular,2013-07-20,145,1,2492,4,4,145,2492,17.1862068965517
